eV	Coeff1	Coeff2	Coeff3	Coeff4	Coeff5	Coeff6
1e-05	-1.1674e-14	-1.01123e-16	-1.82863e-17	3.03417e-17	-3.10313e-18	3.93859e-18
2e-05	-2.32313e-14	-6.95489e-17	-2.62104e-17	-6.63725e-18	-6.20626e-18	2.8883e-17
5e-05	-5.8244e-14	-6.78422e-17	-2.98676e-17	2.6549e-17	6.20626e-18	3.93859e-17
0.0001	-1.16403e-13	-7.04022e-17	-2.37722e-17	3.22381e-17	6.20626e-18	9.19004e-18
0.0002	-2.32602e-13	-9.94165e-17	-3.77917e-17	2.46526e-17	2.79282e-17	1.70672e-17
0.0005	-5.81787e-13	-1.05817e-16	-3.96203e-17	5.12016e-17	0.0	2.10058e-17
0.001	-1.1637e-12	-9.04562e-17	1.341e-17	1.99117e-17	1.55156e-17	2.23187e-17
0.002	-2.32728e-12	-7.89358e-17	-4.38871e-17	3.50826e-17	9.30939e-18	2.36315e-17
0.005	-5.81835e-12	-1.25871e-16	-1.76768e-17	2.93935e-17	3.25829e-17	-1.31286e-18
0.01	-1.16365e-11	-1.0795e-16	-5.30303e-17	4.64607e-17	1.39641e-17	1.57544e-17
0.0253	-2.94404e-11	-1.28431e-16	-2.68199e-17	4.07717e-17	7.75782e-18	3.93859e-18
0.1	-1.16365e-10	-8.61895e-17	-4.87635e-18	1.51709e-17	0.0	1.57544e-17
0.2	-2.3273e-10	-5.03483e-17	-3.04772e-17	1.32745e-17	2.79282e-17	2.10058e-17
0.5	-5.81824e-10	-1.06244e-16	9.14318e-18	5.215e-17	3.10314e-18	1.18158e-17
1.0	-1.163648e-09	-9.94172e-17	-4.4497e-17	4.74092e-17	9.30945e-18	1.96931e-17
2.0	-2.327292e-09	-1.5062e-16	-1.09719e-17	4.4565e-17	1.24127e-17	1.57546e-17
5.0	-5.818204e-09	-6.6991e-17	-3.53547e-17	2.18088e-17	1.86194e-17	1.31291e-17
10.0	-1.163632e-08	-6.61398e-17	-1.40204e-17	1.13789e-17	1.08617e-17	1.18165e-17
20.0	-2.327232e-08	1.58319e-16	5.1818e-17	2.37076e-17	3.10354e-18	2.62607e-18
50.0	-5.817832e-08	1.53826e-15	8.65837e-17	-9.48491e-18	3.10415e-17	1.05064e-17
100.0	-1.163485e-07	6.95947e-15	1.00031e-16	-2.94129e-17	6.36561e-17	2.62745e-18
200.0	-2.326642e-07	2.89931e-14	2.43528e-16	-8.16508e-17	1.04092e-16	-4.20669e-17
500.0	-5.814162e-07	1.8229e-13	6.14608e-16	-2.67315e-16	2.45954e-16	-1.27767e-16
1000.0	-1.16202e-06	7.15456e-13	1.20195e-15	-5.65493e-16	4.56038e-16	-2.66943e-16
2000.0	-2.320802e-06	2.72456e-12	1.90331e-15	-1.13116e-15	9.6047e-16	-5.83924e-16
3000.0	-3.476361e-06	5.80892e-12	1.74346e-15	-1.70506e-15	1.3907e-15	-8.66158e-16
4000.0	-4.628714e-06	9.7516e-12	7.94438e-17	-2.28184e-15	1.85661e-15	-1.16678e-15
5000.0	-5.777875e-06	1.43367e-11	-3.40257e-15	-2.84425e-15	2.28665e-15	-1.45759e-15
6000.0	-6.923857e-06	1.93496e-11	-9.25094e-15	-3.44854e-15	2.78001e-15	-1.75469e-15
7000.0	-8.066676e-06	2.45766e-11	-1.80057e-14	-3.97734e-15	3.20956e-15	-2.04302e-15
8000.0	-9.206345e-06	2.98054e-11	-3.01243e-14	-4.56079e-15	3.66379e-15	-2.32925e-15
9000.0	-1.034288e-05	3.48246e-11	-4.60673e-14	-5.14706e-15	4.11348e-15	-2.62855e-15
10000.0	-1.147629e-05	3.9424e-11	-6.63724e-14	-5.69869e-15	4.56174e-15	-2.91453e-15
12000.0	-1.37338e-05	4.65283e-11	-1.22227e-13	-6.85288e-15	5.44506e-15	-3.51744e-15
14000.0	-1.597899e-05	4.94588e-11	-2.01684e-13	-7.95874e-15	6.35639e-15	-4.08507e-15
16000.0	-1.821196e-05	4.65737e-11	-3.09092e-13	-9.05592e-15	7.2257e-15	-4.67793e-15
18000.0	-2.043283e-05	3.62483e-11	-4.48712e-13	-1.01537e-14	8.11659e-15	-5.23924e-15
20000.0	-2.264169e-05	1.68751e-11	-6.24962e-13	-1.12342e-14	8.98702e-15	-5.79263e-15
22000.0	-2.483865e-05	-1.31366e-11	-8.42324e-13	-1.23277e-14	9.87281e-15	-6.36139e-15
24000.0	-2.702382e-05	-5.53608e-11	-1.10529e-12	-1.33897e-14	1.07183e-14	-6.92741e-15
26000.0	-2.91973e-05	-1.11355e-10	-1.41865e-12	-1.44503e-14	1.16047e-14	-7.48253e-15
28000.0	-3.135918e-05	-1.8266e-10	-1.78685e-12	-1.54786e-14	1.24469e-14	-8.05233e-15
30000.0	-3.350958e-05	-2.70802e-10	-2.2149e-12	-1.64988e-14	1.32779e-14	-8.59465e-15
35000.0	-3.883596e-05	-5.74681e-10	-3.57852e-12	-1.90294e-14	1.54153e-14	-9.9747e-15
40000.0	-4.409267e-05	-1.016332e-09	-5.42402e-12	-2.14051e-14	1.75016e-14	-1.13023e-14
45000.0	-4.928122e-05	-1.618313e-09	-7.83201e-12	-2.36388e-14	1.95426e-14	-1.26363e-14
50000.0	-5.440306e-05	-2.402603e-09	-1.08859e-11	-2.56756e-14	2.15653e-14	-1.39521e-14
55000.0	-5.945963e-05	-3.390617e-09	-1.46714e-11	-2.74934e-14	2.35905e-14	-1.52465e-14
60000.0	-6.44523e-05	-4.603223e-09	-1.92771e-11	-2.89971e-14	2.55568e-14	-1.65544e-14
65000.0	-6.938244e-05	-6.060758e-09	-2.47937e-11	-3.02566e-14	2.75327e-14	-1.77913e-14
70000.0	-7.425139e-05	-7.78304e-09	-3.13146e-11	-3.10564e-14	2.94591e-14	-1.90442e-14
75000.0	-7.906043e-05	-9.789385e-09	-3.89353e-11	-3.13643e-14	3.1373e-14	-2.03028e-14
80000.0	-8.381084e-05	-1.209862e-08	-4.77535e-11	-3.1183e-14	3.31893e-14	-2.14958e-14
85000.0	-8.850385e-05	-1.47291e-08	-5.78693e-11	-3.03251e-14	3.50796e-14	-2.27158e-14
