0,coeff1,coeff2,coeff3,coeff4,coeff5,coeff6,coeff7,coeff8,coeff9,coeff10
1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.663,-1.0944e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.47,-1.3099e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.085,-1.7408e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.701,-2.1717e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.316,-2.6026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.93,-3.0336e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.55,-3.4646e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156.78,-4.3266e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188.01,-5.1888e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219.24,-6.0509e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250.47,-6.9132e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312.93,-8.638e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375.39,-0.00010363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500.31,-0.00013814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625.23,-0.00017267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750.16,-0.0002072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
875.08,-0.00024175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,-0.00027631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250.0,-0.00034551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500.0,-0.00041477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,-0.00055342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500.0,-0.00069228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000.0,-0.00083134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000.0,-0.0011101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,-0.0013896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6250.0,-0.0017402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7500.0,-0.0020921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8750.0,-0.0024453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,-0.0027998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12500.0,-0.0035127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000.0,-0.0042311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000.0,-0.0056843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25000.0,-0.00716,1.183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000.0,-0.0086591,1.7415e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40000.0,-0.01173,3.2383e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50000.0,-0.014905,5.2985e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62500.0,-0.019029,8.7849e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75000.0,-0.023341,0.00013451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87500.0,-0.027859,0.0001951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000.0,-0.032603,0.00027218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125000.0,-0.042861,0.00048897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150000.0,-0.054331,0.00081912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175000.0,-0.067294,0.001315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,-0.08215,0.00062969,0.00018676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220000.0,-0.095663,0.0011617,0.00027638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240000.0,-0.11096,0.0020095,0.00040161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
