    energy(eV)      sigma_a(b)
    1.000000e-05    9.550162e-03
    1.103037e-05    9.093178e-03
    1.216691e-05    8.658061e-03
    1.342055e-05    8.243765e-03
    1.480336e-05    7.849294e-03
    1.632865e-05    7.473698e-03
    1.801111e-05    7.116075e-03
    1.986691e-05    6.775565e-03
    2.191394e-05    6.451348e-03
    2.417189e-05    6.142645e-03
    2.666248e-05    5.848714e-03
    2.940971e-05    5.568848e-03
    3.243999e-05    5.302374e-03
    3.578251e-05    5.048651e-03
    3.946943e-05    4.807068e-03
    4.353624e-05    4.577046e-03
    4.802208e-05    4.358030e-03
    5.297013e-05    4.149495e-03
    5.842801e-05    3.950938e-03
    6.444825e-05    3.761882e-03
    7.108881e-05    3.581872e-03
    7.841358e-05    3.410477e-03
    8.649308e-05    3.247282e-03
    9.540506e-05    3.091897e-03
    1.052353e-04    2.943947e-03
    1.160784e-04    2.803077e-03
    1.280388e-04    2.668947e-03
    1.412315e-04    2.541235e-03
    1.557836e-04    2.419635e-03
    1.718351e-04    2.303853e-03
    1.895404e-04    2.193612e-03
    2.090701e-04    2.088646e-03
    2.306120e-04    1.988702e-03
    2.543736e-04    1.893541e-03
    2.805835e-04    1.802933e-03
    3.094939e-04    1.716661e-03
    3.413832e-04    1.634518e-03
    3.765583e-04    1.556305e-03
    4.153577e-04    1.481834e-03
    4.581549e-04    1.410927e-03
    5.053618e-04    1.343413e-03
    5.574328e-04    1.279129e-03
    6.148689e-04    1.217922e-03
    6.782232e-04    1.159643e-03
    7.481052e-04    1.104153e-03
    8.251877e-04    1.051319e-03
    9.102125e-04    1.001012e-03
    1.003998e-03    9.531130e-04
    1.107447e-03    9.075060e-04
    1.221555e-03    8.640810e-04
    1.347420e-03    8.227340e-04
    1.486254e-03    7.833650e-04
    1.639393e-03    7.458800e-04
    1.808311e-03    7.101890e-04
    1.994634e-03    6.762060e-04
    2.200155e-03    6.438490e-04
    2.426853e-03    6.130400e-04
    2.676908e-03    5.837060e-04
    2.952729e-03    5.557750e-04
    3.256969e-03    5.291810e-04
    3.592557e-03    5.038590e-04
    3.962723e-03    4.797490e-04
    4.371030e-03    4.567920e-04
    4.821407e-03    4.349350e-04
    5.318191e-03    4.141230e-04
    5.866161e-03    3.943060e-04
    6.470592e-03    3.754390e-04
    7.137302e-03    3.574730e-04
    7.872708e-03    3.403680e-04
    8.683888e-03    3.240810e-04
    9.578649e-03    3.085740e-04
    1.056560e-02    2.938080e-04
    1.165425e-02    2.797490e-04
    1.285507e-02    2.663630e-04
    1.417962e-02    2.536170e-04
    1.564064e-02    2.414810e-04
    1.725221e-02    2.299260e-04
    1.902982e-02    2.189240e-04
    2.099059e-02    2.084480e-04
    2.315340e-02    1.984740e-04
    2.524188e-02    1.900860e-04
    2.530000e-02    1.898670e-04
    2.790683e-02    1.807820e-04
    3.078227e-02    1.721320e-04
    3.395398e-02    1.638960e-04
