    energy(eV)      sigma_a(b)
    1.000000e-05    1.672882e+01
    1.103037e-05    1.592833e+01
    1.216691e-05    1.516614e+01
    1.342055e-05    1.444043e+01
    1.480336e-05    1.374944e+01
    1.632865e-05    1.309152e+01
    1.801111e-05    1.246508e+01
    1.986691e-05    1.186862e+01
    2.191394e-05    1.130069e+01
    2.417189e-05    1.075994e+01
    2.666248e-05    1.024507e+01
    2.940971e-05    9.754835e+00
    3.243999e-05    9.288058e+00
    3.578251e-05    8.843616e+00
    3.946943e-05    8.420441e+00
    4.353624e-05    8.017515e+00
    4.802208e-05    7.633870e+00
    5.297013e-05    7.268583e+00
    5.842801e-05    6.920775e+00
    6.444825e-05    6.589610e+00
    7.108881e-05    6.274291e+00
    7.841358e-05    5.974061e+00
    8.649308e-05    5.688197e+00
    9.540506e-05    5.416011e+00
    1.052353e-04    5.156850e+00
    1.160784e-04    4.910091e+00
    1.280388e-04    4.675138e+00
    1.412315e-04    4.451429e+00
    1.557836e-04    4.238424e+00
    1.718351e-04    4.035612e+00
    1.895404e-04    3.842504e+00
    2.090701e-04    3.658637e+00
    2.306120e-04    3.483568e+00
    2.543736e-04    3.316876e+00
    2.805835e-04    3.158161e+00
    3.094939e-04    3.007040e+00
    3.413832e-04    2.863150e+00
    3.765583e-04    2.726146e+00
    4.153577e-04    2.595698e+00
    4.581549e-04    2.471491e+00
    5.053618e-04    2.353228e+00
    5.574328e-04    2.240624e+00
    6.148689e-04    2.133408e+00
    6.782232e-04    2.031323e+00
    7.481052e-04    1.934122e+00
    8.251877e-04    1.841573e+00
    9.102125e-04    1.753452e+00
    1.003998e-03    1.669548e+00
    1.107447e-03    1.589658e+00
    1.221555e-03    1.513592e+00
    1.347420e-03    1.441165e+00
    1.486254e-03    1.372204e+00
    1.639393e-03    1.306543e+00
    1.808311e-03    1.244024e+00
    1.994634e-03    1.184496e+00
    2.200155e-03    1.127817e+00
    2.426853e-03    1.073850e+00
    2.676908e-03    1.022465e+00
    2.952729e-03    9.735393e-01
    3.256969e-03    9.269546e-01
    3.592557e-03    8.825990e-01
    3.962723e-03    8.403659e-01
    4.371030e-03    8.001536e-01
    4.821407e-03    7.618655e-01
    5.318191e-03    7.254096e-01
    5.866161e-03    6.906981e-01
    6.470592e-03    6.576476e-01
    7.137302e-03    6.261786e-01
    7.872708e-03    5.962154e-01
    8.683888e-03    5.676859e-01
    9.578649e-03    5.405217e-01
    1.056560e-02    5.146572e-01
    1.165425e-02    4.900304e-01
    1.285507e-02    4.665820e-01
    1.417962e-02    4.442557e-01
    1.564064e-02    4.229976e-01
    1.725221e-02    4.027568e-01
    1.902982e-02    3.834845e-01
    2.099059e-02    3.651345e-01
    2.315340e-02    3.476625e-01
    2.524188e-02    3.329694e-01
    2.530000e-02    3.325867e-01
    2.790683e-02    3.166722e-01
    3.078227e-02    3.015191e-01
    3.395398e-02    2.870912e-01
    3.745250e-02    2.733536e-01
    4.131149e-02    2.602734e-01
    4.556810e-02    2.478191e-01
    5.026329e-02    2.359607e-01
    5.544227e-02    2.246698e-01
    6.115487e-02    2.139191e-01
    6.745608e-02    2.036829e-01
    7.440655e-02    1.939365e-01
    8.207318e-02    1.846564e-01
    9.052975e-02    1.758205e-01
    9.985766e-02    1.674073e-01
    1.101467e-01    1.593967e-01
    1.214959e-01    1.517694e-01
    1.340144e-01    1.445071e-01
    1.478229e-01    1.375923e-01
    1.630541e-01    1.310084e-01
    1.798547e-01    1.247395e-01
    1.983864e-01    1.187706e-01
    2.188275e-01    1.130873e-01
    2.413748e-01    1.076759e-01
    2.662453e-01    1.025235e-01
    2.936784e-01    9.761766e-02
    3.239382e-01    9.294655e-02
    3.573158e-01    8.849896e-02
    3.941325e-01    8.426421e-02
    4.347427e-01    8.023210e-02
    4.795372e-01    7.639297e-02
    5.289473e-01    7.273763e-02
    5.834484e-01    6.925738e-02
    6.435652e-01    6.594399e-02
    7.098762e-01    6.278972e-02
    7.830196e-01    5.978722e-02
    8.636996e-01    5.692944e-02
    9.526926e-01    5.420939e-02
    1.050855e+00    5.162006e-02
    1.159132e+00    4.915438e-02
    1.278565e+00    4.680560e-02
    1.410305e+00    4.456761e-02
    1.555618e+00    4.243520e-02
    1.715905e+00    4.040419e-02
    1.892706e+00    3.847031e-02
    2.087725e+00    3.662961e-02
    2.302838e+00    3.487747e-02
    2.540115e+00    3.320930e-02
    2.801841e+00    3.162072e-02
    3.090534e+00    3.010730e-02
    3.408973e+00    2.866568e-02
    3.760223e+00    2.729361e-02
    4.147665e+00    2.598741e-02
    4.575028e+00    2.474348e-02
    5.046425e+00    2.356019e-02
    5.566393e+00    2.243448e-02
