    energy(eV)      sigma_s(b)
    1.000000e-05    1.173107e+03
    1.103037e-05    1.116988e+03
    1.216691e-05    1.063555e+03
    1.342055e-05    1.012679e+03
    1.480336e-05    9.642387e+02
    1.632865e-05    9.181170e+02
    1.801111e-05    8.742033e+02
    1.986691e-05    8.323918e+02
    2.191394e-05    7.925820e+02
    2.417189e-05    7.546782e+02
    2.666248e-05    7.185892e+02
    2.940971e-05    6.842283e+02
    3.243999e-05    6.515128e+02
    3.578251e-05    6.203640e+02
    3.946943e-05    5.907071e+02
    4.353624e-05    5.624707e+02
    4.802208e-05    5.355869e+02
    5.297013e-05    5.099910e+02
    5.842801e-05    4.856216e+02
    6.444825e-05    4.624200e+02
    7.108881e-05    4.403304e+02
    7.841358e-05    4.192997e+02
    8.649308e-05    3.992774e+02
    9.540506e-05    3.802152e+02
    1.052353e-04    3.620673e+02
    1.160784e-04    3.447901e+02
    1.280388e-04    3.283420e+02
    1.412315e-04    3.126836e+02
    1.557836e-04    2.977771e+02
    1.718351e-04    2.835866e+02
    1.895404e-04    2.700781e+02
    2.090701e-04    2.572191e+02
    2.306120e-04    2.449786e+02
    2.543736e-04    2.333272e+02
    2.805835e-04    2.222369e+02
    3.094939e-04    2.116810e+02
    3.413832e-04    2.016342e+02
    3.765583e-04    1.920722e+02
    4.153577e-04    1.829720e+02
    4.581549e-04    1.743119e+02
    5.053618e-04    1.660709e+02
    5.574328e-04    1.582292e+02
    6.148689e-04    1.507680e+02
    6.782232e-04    1.436693e+02
    7.481052e-04    1.369160e+02
    8.251877e-04    1.304919e+02
    9.102125e-04    1.243815e+02
    1.003998e-03    1.185702e+02
    1.107447e-03    1.130438e+02
    1.221555e-03    1.077892e+02
    1.347420e-03    1.027936e+02
    1.486254e-03    9.804510e+01
    1.639393e-03    9.353213e+01
    1.808311e-03    8.924386e+01
    1.994634e-03    8.516994e+01
    2.215676e-03    8.103077e+01
    2.461091e-03    7.711678e+01
    2.733824e-03    7.341342e+01
    3.036632e-03    6.991385e+01
    3.373145e-03    6.660505e+01
    3.746766e-03    6.348087e+01
    4.161974e-03    6.052964e+01
    4.622969e-03    5.774583e+01
    5.135276e-03    5.511898e+01
    5.704077e-03    5.264410e+01
    6.336190e-03    5.031183e+01
    7.038008e-03    4.811766e+01
    7.817946e-03    4.605317e+01
    8.683888e-03    4.411427e+01
    9.646218e-03    4.229341e+01
    1.079025e-02    4.047653e+01
    1.206996e-02    3.878242e+01
    1.350144e-02    3.720505e+01
    1.510270e-02    3.573868e+01
    1.689386e-02    3.437778e+01
    1.902982e-02    3.304175e+01
    2.143689e-02    3.181216e+01
    2.414725e-02    3.068411e+01
    2.524188e-02    3.028870e+01
    2.530000e-02    3.026854e+01
    2.869982e-02    2.921546e+01
    3.255651e-02    2.826017e+01
    3.719198e-02    2.735063e+01
    4.248537e-02    2.653578e+01
    4.887450e-02    2.577183e+01
    5.662107e-02    2.506438e+01
    6.605495e-02    2.441753e+01
    7.760042e-02    2.383331e+01
    9.245458e-02    2.329182e+01
    1.117007e-01    2.280170e+01
    1.368638e-01    2.236745e+01
    1.712527e-01    2.197980e+01
    2.203711e-01    2.163574e+01
    2.936784e-01    2.133627e+01
    4.081912e-01    2.108370e+01
    6.042600e-01    2.087352e+01
    9.866751e-01    2.070390e+01
    1.879541e+00    2.057650e+01
    4.906990e+00    2.048933e+01
    3.321483e+01    2.043985e+01
    1.037272e+04    1.914913e+01
    1.971656e+04    1.813406e+01
    3.022675e+04    1.712657e+01
    3.835521e+04    1.643887e+01
    4.765864e+04    1.572000e+01
    5.776548e+04    1.501979e+01
    6.731855e+04    1.442495e+01
    8.170095e+04    1.362336e+01
    9.733524e+04    1.286795e+01
    1.131257e+05    1.219904e+01
    1.300000e+05    1.157069e+01
    1.454178e+05    1.107324e+01
    1.634019e+05    1.054528e+01
    1.838271e+05    1.002008e+01
    2.042524e+05    9.557217e+00
    2.246776e+05    9.146007e+00
    2.460917e+05    8.761633e+00
    2.673880e+05    8.418769e+00
    2.920189e+05    8.063531e+00
    3.222573e+05    7.676566e+00
    3.545943e+05    7.316333e+00
    4.028216e+05    6.855334e+00
    4.462076e+05    6.503933e+00
    4.936394e+05    6.169747e+00
    5.577595e+05    5.789440e+00
    6.084649e+05    5.530564e+00
    6.638202e+05    5.283005e+00
    7.148833e+05    5.080072e+00
    7.713116e+05    4.880010e+00
    8.343396e+05    4.680615e+00
    9.181068e+05    4.448521e+00
    1.000000e+06    4.249507e+00
    1.115519e+06    4.009861e+00
    1.216930e+06    3.826598e+00
    1.327640e+06    3.651057e+00
    1.429767e+06    3.506747e+00
    1.542623e+06    3.363918e+00
    1.668679e+06    3.220867e+00
    1.838271e+06    3.051324e+00
    2.000000e+06    2.908388e+00
    2.231038e+06    2.732266e+00
    2.433860e+06    2.596379e+00
    2.636681e+06    2.475306e+00
    2.859533e+06    2.356487e+00
    3.063785e+06    2.258003e+00
    3.290929e+06    2.158630e+00
    3.545943e+06    2.057451e+00
    3.880795e+06    1.939126e+00
    4.200000e+06    1.838213e+00
    4.632449e+06    1.718437e+00
    5.070541e+06    1.611972e+00
    5.476184e+06    1.524098e+00
    5.881828e+06    1.445083e+00
    6.287471e+06    1.373588e+00
    6.693114e+06    1.308546e+00
    7.098757e+06    1.249229e+00
    7.605812e+06    1.181690e+00
    8.112866e+06    1.120658e+00
    8.619920e+06    1.065222e+00
    9.126974e+06    1.014641e+00
    9.701987e+06    9.624664e-01
    1.000000e+07    9.368766e-01
    1.014108e+07    9.256948e-01
    1.028415e+07    9.143572e-01
    1.042925e+07    9.028596e-01
    1.050000e+07    8.972527e-01
    1.064814e+07    8.863875e-01
    1.079836e+07    8.753690e-01
    1.095071e+07    8.641950e-01
    1.100000e+07    8.605796e-01
    1.115519e+07    8.500148e-01
    1.131257e+07    8.393010e-01
    1.147217e+07    8.284361e-01
    1.150000e+07    8.265415e-01
    1.166224e+07    8.162639e-01
    1.182678e+07    8.058413e-01
    1.199363e+07    7.952716e-01
    1.200000e+07    7.948682e-01
    1.216930e+07    7.848651e-01
    1.234099e+07    7.747209e-01
    1.250000e+07    7.653255e-01
    1.267635e+07    7.555851e-01
    1.285519e+07    7.457073e-01
    1.300000e+07    7.377093e-01
    1.318341e+07    7.282203e-01
    1.336940e+07    7.185975e-01
    1.350000e+07    7.118406e-01
    1.369046e+07    7.025925e-01
    1.388361e+07    6.932139e-01
    1.400000e+07    6.875623e-01
    1.419751e+07    6.788072e-01
    1.439782e+07    6.699285e-01
    1.460094e+07    6.609246e-01
    1.480694e+07    6.517937e-01
    1.500000e+07    6.432359e-01
    1.521162e+07    6.348888e-01
    1.542623e+07    6.264239e-01
    1.564387e+07    6.178396e-01
    1.586457e+07    6.091342e-01
    1.600000e+07    6.037926e-01
    1.622573e+07    5.958223e-01
    1.645465e+07    5.877396e-01
    1.668679e+07    5.795428e-01
    1.692221e+07    5.712305e-01
    1.700000e+07    5.684839e-01
    1.723984e+07    5.608620e-01
    1.748306e+07    5.531325e-01
    1.772972e+07    5.452940e-01
    1.797985e+07    5.373449e-01
    1.800000e+07    5.367046e-01
    1.825395e+07    5.294050e-01
    1.851148e+07    5.220023e-01
    1.877264e+07    5.144952e-01
    1.900000e+07    5.079599e-01
    1.926806e+07    5.009585e-01
    1.953989e+07    4.938584e-01
    1.981557e+07    4.866580e-01
    2.000000e+07    4.818408e-01
    2.000000e+07    4.801005e-01
    2.028216e+07    4.729585e-01
    2.056831e+07    4.657157e-01
    2.085849e+07    4.583707e-01
    2.100000e+07    4.547889e-01
