    energy(eV)      sigma_t(b)
    1.000000e-05    1.191263e+03
    1.103037e-05    1.134275e+03
    1.216691e-05    1.080015e+03
    1.342055e-05    1.028351e+03
    1.480336e-05    9.791611e+02
    1.632865e-05    9.323254e+02
    1.801111e-05    8.877317e+02
    1.986691e-05    8.452729e+02
    2.191394e-05    8.048468e+02
    2.417189e-05    7.663561e+02
    2.666248e-05    7.297083e+02
    2.940971e-05    6.948154e+02
    3.243999e-05    6.615933e+02
    3.578251e-05    6.299622e+02
    3.946943e-05    5.998460e+02
    4.353624e-05    5.711723e+02
    4.802208e-05    5.438721e+02
    5.297013e-05    5.178799e+02
    5.842801e-05    4.931330e+02
    6.444825e-05    4.695720e+02
    7.108881e-05    4.471402e+02
    7.841358e-05    4.257837e+02
    8.649308e-05    4.054511e+02
    9.540506e-05    3.860935e+02
    1.052353e-04    3.676643e+02
    1.160784e-04    3.501194e+02
    1.280388e-04    3.334163e+02
    1.412315e-04    3.175151e+02
    1.557836e-04    3.023774e+02
    1.718351e-04    2.879669e+02
    1.895404e-04    2.742488e+02
    2.090701e-04    2.611902e+02
    2.306120e-04    2.487598e+02
    2.543736e-04    2.369275e+02
    2.805835e-04    2.256650e+02
    3.094939e-04    2.149451e+02
    3.413832e-04    2.047421e+02
    3.765583e-04    1.950315e+02
    4.153577e-04    1.857898e+02
    4.581549e-04    1.769949e+02
    5.053618e-04    1.686256e+02
    5.574328e-04    1.606617e+02
    6.148689e-04    1.530842e+02
    6.782232e-04    1.458747e+02
    7.481052e-04    1.390160e+02
    8.251877e-04    1.324915e+02
    9.102125e-04    1.262855e+02
    1.003998e-03    1.203831e+02
    1.107447e-03    1.147701e+02
    1.221555e-03    1.094330e+02
    1.347420e-03    1.043589e+02
    1.486254e-03    9.953553e+01
    1.639393e-03    9.495136e+01
    1.808311e-03    9.059530e+01
    1.994634e-03    8.645683e+01
    2.215676e-03    8.225192e+01
    2.461091e-03    7.827557e+01
    2.733824e-03    7.451304e+01
    3.036632e-03    7.095735e+01
    3.373145e-03    6.759529e+01
    3.746766e-03    6.442060e+01
    4.161974e-03    6.142142e+01
    4.622969e-03    5.859214e+01
    5.135276e-03    5.592213e+01
    5.704077e-03    5.340633e+01
    6.336190e-03    5.103521e+01
    7.038008e-03    4.880419e+01
    7.817946e-03    4.670473e+01
    8.683888e-03    4.473265e+01
    9.646218e-03    4.288029e+01
    1.079025e-02    4.103160e+01
    1.206996e-02    3.930739e+01
    1.350144e-02    3.770155e+01
    1.510270e-02    3.620823e+01
    1.689386e-02    3.482184e+01
    1.902982e-02    3.346022e+01
    2.143689e-02    3.220646e+01
    2.414725e-02    3.105561e+01
    2.524188e-02    3.065204e+01
    2.530000e-02    3.063146e+01
    2.869982e-02    2.955612e+01
    3.255651e-02    2.857986e+01
    3.719198e-02    2.764949e+01
    4.248537e-02    2.681508e+01
    4.887450e-02    2.603181e+01
    5.662107e-02    2.530539e+01
    6.605495e-02    2.464004e+01
    7.760042e-02    2.403795e+01
    9.180696e-02    2.349938e+01
    1.101467e-01    2.300579e+01
    1.340144e-01    2.256340e+01
    1.665209e-01    2.216359e+01
    2.127812e-01    2.180468e+01
    2.796325e-01    2.149543e+01
    3.832425e-01    2.122767e+01
    5.594349e-01    2.099437e+01
    8.758848e-01    2.080125e+01
    1.502114e+00    2.066302e+01
    3.457067e+00    2.055501e+01
    1.219816e+01    2.047285e+01
    6.718613e+03    1.958033e+01
    1.568082e+04    1.855825e+01
    2.557129e+04    1.755794e+01
    3.680818e+04    1.656236e+01
    4.736545e+04    1.574108e+01
    5.776548e+04    1.501996e+01
    6.731855e+04    1.442509e+01
    8.170095e+04    1.362349e+01
    9.733524e+04    1.286806e+01
    1.131257e+05    1.219914e+01
    1.300000e+05    1.157078e+01
    1.454178e+05    1.107332e+01
    1.634019e+05    1.054536e+01
    1.838271e+05    1.002015e+01
    2.042524e+05    9.557276e+00
    2.246776e+05    9.146062e+00
    2.460917e+05    8.761684e+00
    2.673880e+05    8.418817e+00
    2.920189e+05    8.063577e+00
    3.222573e+05    7.676609e+00
    3.545943e+05    7.316374e+00
    4.028216e+05    6.855373e+00
    4.462076e+05    6.503970e+00
    4.936394e+05    6.169782e+00
    5.577595e+05    5.789475e+00
    6.084649e+05    5.530598e+00
    6.638202e+05    5.283039e+00
    7.148833e+05    5.080105e+00
    7.713116e+05    4.880043e+00
    8.343396e+05    4.680648e+00
    9.181068e+05    4.448555e+00
    1.000000e+06    4.249541e+00
    1.115519e+06    4.009895e+00
    1.216930e+06    3.826632e+00
    1.327640e+06    3.651092e+00
    1.429767e+06    3.506783e+00
    1.542623e+06    3.363954e+00
    1.668679e+06    3.220903e+00
    1.838271e+06    3.051361e+00
    2.000000e+06    2.908425e+00
    2.231038e+06    2.732303e+00
    2.433860e+06    2.596416e+00
    2.636681e+06    2.475343e+00
    2.859533e+06    2.356524e+00
    3.063785e+06    2.258040e+00
    3.290929e+06    2.158667e+00
    3.545943e+06    2.057488e+00
    3.880795e+06    1.939163e+00
    4.200000e+06    1.838249e+00
    4.632449e+06    1.718473e+00
    5.070541e+06    1.612007e+00
    5.476184e+06    1.524133e+00
    5.881828e+06    1.445118e+00
