    energy(eV)      sigma_s(b)
    1.000000e-05    5.574584e+01
    1.103037e-05    5.308949e+01
    1.216691e-05    5.056082e+01
    1.342055e-05    4.815373e+01
    1.480336e-05    4.586244e+01
    1.632865e-05    4.368143e+01
    1.801111e-05    4.160546e+01
    1.986691e-05    3.962955e+01
    2.191394e-05    3.774893e+01
    2.417189e-05    3.595908e+01
    2.666248e-05    3.425570e+01
    2.940971e-05    3.263469e+01
    3.243999e-05    3.109216e+01
    3.578251e-05    2.962439e+01
    3.946943e-05    2.822785e+01
    4.353624e-05    2.689918e+01
    4.802208e-05    2.563518e+01
    5.297013e-05    2.443282e+01
    5.842801e-05    2.328920e+01
    6.444825e-05    2.220156e+01
    7.108881e-05    2.116729e+01
    7.841358e-05    2.018390e+01
    8.649308e-05    1.924902e+01
    9.540506e-05    1.836039e+01
    1.052353e-04    1.751588e+01
    1.160784e-04    1.671345e+01
    1.289420e-04    1.589800e+01
    1.432240e-04    1.512675e+01
    1.590958e-04    1.439683e+01
    1.767178e-04    1.370689e+01
    1.963013e-04    1.305437e+01
    2.180443e-04    1.243805e+01
    2.422075e-04    1.185565e+01
    2.690352e-04    1.130606e+01
    2.988492e-04    1.078724e+01
    3.319507e-04    1.029820e+01
    3.687368e-04    9.837093e+00
    4.095793e-04    9.403040e+00
    4.549680e-04    8.994386e+00
    5.053618e-04    8.610326e+00
    5.613650e-04    8.249376e+00
    6.235436e-04    7.910801e+00
    6.974952e-04    7.572902e+00
    7.802173e-04    7.257933e+00
    8.727501e-04    6.964772e+00
    9.762572e-04    6.692340e+00
    1.092040e-03    6.439607e+00
    1.230172e-03    6.191503e+00
    1.385708e-03    5.963467e+00
    1.560985e-03    5.754198e+00
    1.770751e-03    5.552021e+00
    2.008705e-03    5.368527e+00
    2.294596e-03    5.193789e+00
    2.621306e-03    5.037040e+00
    3.015509e-03    4.890059e+00
    3.493293e-03    4.753914e+00
    4.075325e-03    4.629318e+00
    4.787870e-03    4.516698e+00
    5.664399e-03    4.416161e+00
    6.795943e-03    4.324194e+00
    8.326477e-03    4.239274e+00
    1.034614e-02    4.165541e+00
    1.322035e-02    4.099412e+00
