    energy(eV)      sigma_t(b)
    1.000000e-05    5.586627e+01
    1.103037e-05    5.320418e+01
    1.216691e-05    5.067004e+01
    1.342055e-05    4.825774e+01
    1.480336e-05    4.596149e+01
    1.632865e-05    4.377576e+01
    1.801111e-05    4.169530e+01
    1.986691e-05    3.971511e+01
    2.191394e-05    3.783042e+01
    2.417189e-05    3.603670e+01
    2.666248e-05    3.432963e+01
    2.940971e-05    3.270512e+01
    3.243999e-05    3.115924e+01
    3.578251e-05    2.968829e+01
    3.946943e-05    2.828872e+01
    4.353624e-05    2.695718e+01
    4.802208e-05    2.569044e+01
    5.297013e-05    2.448547e+01
    5.842801e-05    2.333937e+01
    6.444825e-05    2.224937e+01
    7.108881e-05    2.121286e+01
    7.841358e-05    2.022733e+01
    8.649308e-05    1.929042e+01
    9.540506e-05    1.839986e+01
    1.052353e-04    1.755351e+01
    1.160784e-04    1.674933e+01
    1.289420e-04    1.593211e+01
    1.432240e-04    1.515918e+01
    1.590958e-04    1.442766e+01
    1.767178e-04    1.373622e+01
    1.963013e-04    1.308226e+01
    2.180443e-04    1.246460e+01
    2.422075e-04    1.188091e+01
    2.690352e-04    1.133012e+01
    2.988492e-04    1.081015e+01
    3.319507e-04    1.032003e+01
    3.687368e-04    9.857906e+00
    4.095793e-04    9.422889e+00
    4.549680e-04    9.013323e+00
    5.053618e-04    8.628403e+00
    5.613650e-04    8.266640e+00
    6.235436e-04    7.927299e+00
    6.974952e-04    7.588629e+00
    7.802173e-04    7.272937e+00
    8.727501e-04    6.979094e+00
    9.762572e-04    6.706023e+00
    1.092040e-03    6.452689e+00
    1.230172e-03    6.203986e+00
    1.385708e-03    5.975386e+00
    1.560985e-03    5.765588e+00
    1.770751e-03    5.562885e+00
    2.008705e-03    5.378895e+00
    2.294596e-03    5.203663e+00
    2.621306e-03    5.046443e+00
    3.015509e-03    4.898989e+00
    3.493293e-03    4.762364e+00
    4.075325e-03    4.637275e+00
    4.787870e-03    4.524142e+00
    5.664399e-03    4.423060e+00
    6.795943e-03    4.330477e+00
    8.268559e-03    4.247492e+00
    1.027367e-02    4.172403e+00
    1.312839e-02    4.104734e+00
    1.725221e-02    4.046186e+00
    2.364568e-02    3.995595e+00
    2.524188e-02    3.986975e+00
    2.530000e-02    3.986681e+00
    3.719198e-02    3.946245e+00
    5.988462e-02    3.914085e+00
    1.124886e-01    3.889504e+00
    2.835776e-01    3.872621e+00
    1.680263e+00    3.863392e+00
    1.021563e+05    3.642575e+00
    1.632600e+05    3.531078e+00
    1.992820e+05    3.476060e+00
    2.361962e+05    3.438284e+00
    2.623438e+05    3.425971e+00
    2.865363e+05    3.444627e+00
    2.995777e+05    3.469530e+00
    3.097289e+05    3.501492e+00
    3.182800e+05    3.535064e+00
    3.287500e+05    3.598089e+00
    3.368600e+05    3.668517e+00
    3.425800e+05    3.730328e+00
    3.497200e+05    3.830349e+00
    3.554400e+05    3.929767e+00
    3.597300e+05    4.023031e+00
    3.640100e+05    4.132884e+00
    3.685938e+05    4.272680e+00
    3.725900e+05    4.422639e+00
    3.754500e+05    4.545394e+00
    3.785547e+05    4.698755e+00
    3.818750e+05    4.890748e+00
    3.854500e+05    5.136187e+00
    3.885156e+05    5.383570e+00
    3.911700e+05    5.634342e+00
    3.934961e+05    5.881620e+00
    3.961650e+05    6.211191e+00
    3.984766e+05    6.533246e+00
    4.001367e+05    6.793425e+00
    4.017969e+05    7.078799e+00
    4.034570e+05    7.391870e+00
    4.054600e+05    7.812665e+00
    4.068900e+05    8.138957e+00
    4.084375e+05    8.522355e+00
    4.100977e+05    8.971152e+00
    4.117578e+05    9.459184e+00
    4.134180e+05    9.987412e+00
    4.161750e+05    1.095655e+01
    4.183984e+05    1.179931e+01
    4.250391e+05    1.446789e+01
    4.269000e+05    1.513920e+01
    4.283594e+05    1.560835e+01
    4.300195e+05    1.604318e+01
    4.311800e+05    1.627143e+01
    4.326100e+05    1.646723e+01
    4.341699e+05    1.655610e+01
    4.360352e+05    1.648465e+01
    4.370703e+05    1.636501e+01
    4.383300e+05    1.614452e+01
    4.397600e+05    1.581338e+01
    4.412109e+05    1.540583e+01
    4.432812e+05    1.471677e+01
    4.515625e+05    1.160177e+01
    4.540500e+05    1.074469e+01
    4.557031e+05    1.020967e+01
    4.577734e+05    9.594728e+00
    4.598438e+05    9.034969e+00
    4.619141e+05    8.528192e+00
    4.640600e+05    8.055839e+00
    4.660547e+05    7.659043e+00
    4.683400e+05    7.253626e+00
    4.701953e+05    6.954620e+00
    4.726300e+05    6.606165e+00
    4.743359e+05    6.382752e+00
    4.776983e+05    5.999082e+00
    4.798433e+05    5.785848e+00
    4.826400e+05    5.530036e+00
    4.854900e+05    5.306390e+00
    4.888281e+05    5.074227e+00
    4.926400e+05    4.848097e+00
    4.971094e+05    4.621982e+00
    5.012500e+05    4.444572e+00
    5.053906e+05    4.291718e+00
    5.095313e+05    4.159025e+00
    5.136719e+05    4.043027e+00
    5.198828e+05    3.895713e+00
    5.260937e+05    3.770080e+00
    5.343750e+05    3.633112e+00
    5.426563e+05    3.521078e+00
    5.509375e+05    3.427807e+00
    5.592187e+05    3.348918e+00
    5.715032e+05    3.252815e+00
    5.840625e+05    3.170833e+00
    6.006250e+05    3.084013e+00
    6.215412e+05    2.997910e+00
    6.426911e+05    2.927439e+00
    6.668750e+05    2.861274e+00
    7.049379e+05    2.783668e+00
    7.375000e+05    2.736587e+00
    7.615847e+05    2.716060e+00
    7.750000e+05    2.709078e+00
    7.937500e+05    2.709358e+00
    8.171875e+05    2.729804e+00
    8.312500e+05    2.755688e+00
    8.406250e+05    2.781681e+00
    8.500000e+05    2.816133e+00
    8.593750e+05    2.861118e+00
    8.687500e+05    2.919360e+00
    8.781250e+05    2.994447e+00
    8.851562e+05    3.065439e+00
    8.921875e+05    3.149616e+00
    8.992188e+05    3.253741e+00
    9.039062e+05    3.334494e+00
    9.085938e+05    3.426467e+00
    9.132812e+05    3.531300e+00
    9.156250e+05    3.587223e+00
    9.203125e+05    3.714667e+00
    9.250000e+05    3.860080e+00
    9.296875e+05    4.025931e+00
    9.343750e+05    4.214868e+00
    9.390625e+05    4.429608e+00
    9.437500e+05    4.672733e+00
    9.484375e+05    4.946369e+00
    9.531250e+05    5.251673e+00
    9.578125e+05    5.588105e+00
    9.625000e+05    5.952501e+00
    9.765625e+05    7.119371e+00
    9.824219e+05    7.556494e+00
    9.859375e+05    7.778927e+00
    9.894531e+05    7.952441e+00
    9.917969e+05    8.040787e+00
    9.941407e+05    8.103844e+00
    9.964843e+05    8.140446e+00
    9.976562e+05    8.151770e+00
    1.000703e+06    8.136986e+00
    1.003750e+06    8.087731e+00
    1.007500e+06    7.966679e+00
    1.011250e+06    7.794060e+00
    1.015000e+06    7.581060e+00
    1.018750e+06    7.339259e+00
    1.033750e+06    6.284070e+00
    1.039375e+06    5.904125e+00
    1.045000e+06    5.554756e+00
    1.050625e+06    5.241074e+00
    1.056250e+06    4.956473e+00
    1.061875e+06    4.705909e+00
    1.067500e+06    4.480578e+00
    1.073125e+06    4.283196e+00
    1.078750e+06    4.105811e+00
    1.082500e+06    3.999417e+00
    1.090000e+06    3.809798e+00
    1.097500e+06    3.646748e+00
    1.105000e+06    3.505864e+00
    1.112500e+06    3.383503e+00
    1.120000e+06    3.276701e+00
    1.128281e+06    3.173968e+00
    1.136562e+06    3.084683e+00
    1.144844e+06    3.006809e+00
    1.157266e+06    2.909002e+00
    1.169687e+06    2.827547e+00
    1.182109e+06    2.763908e+00
    1.194531e+06    2.713779e+00
    1.206953e+06    2.681366e+00
    1.215234e+06    2.669488e+00
    1.219375e+06    2.665857e+00
    1.227656e+06    2.669862e+00
    1.235937e+06    2.688788e+00
    1.242149e+06    2.716994e+00
    1.248359e+06    2.759010e+00
    1.252500e+06    2.798777e+00
    1.256641e+06    2.850109e+00
    1.260781e+06    2.916024e+00
    1.264922e+06    3.000484e+00
    1.268027e+06    3.079966e+00
    1.271133e+06    3.174140e+00
    1.273203e+06    3.248226e+00
    1.275273e+06    3.332342e+00
    1.277344e+06    3.427891e+00
    1.279414e+06    3.536443e+00
    1.281484e+06    3.659730e+00
    1.283555e+06    3.799616e+00
    1.285625e+06    3.958015e+00
    1.287695e+06    4.136776e+00
    1.289766e+06    4.337465e+00
    1.291836e+06    4.561019e+00
    1.293906e+06    4.807285e+00
    1.295977e+06    5.074421e+00
